"stop_id","stop_code","stop_name","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_desc","stop_timezone","wheelchair_boarding","level_id","platform_code"
"1038-007289","007289","Vihar utca","47.434399","19.035664","","","0","","","","1","",""
"1038-007290","007290","Leányka utcai lakótelep","47.433301","19.037295","","","0","","","","1","",""
"1038-007817","007817","Márta utca","47.429184","18.929497","","","0","","","","2","",""
"1038-007877","007877","Bíróság","47.519544","18.97806","","","0","","","","1","",""
"1038-007878","007878","Bíróság","47.519418","18.978021","","","0","","","","1","",""
"1038-007879","007879","Római úti lakótelep, Varsa utca","47.57084","19.058436","","","0","","","","1","",""
"1038-007880","007880","Bécsi út / Vörösvári út","47.547562","19.028729","","","0","","","","1","",""
"1038-007881","007881","Váradi utca","47.543722","19.030125","","","0","","","","1","",""
"1038-007882","007882","Váradi utca","47.542679","19.029953","","","0","","","","1","",""
"1038-007883","007883","Perényi út","47.5458","19.029579","","","0","","","","1","",""
"1038-007884","007884","Deák Ferenc tér M","47.497413","19.055158","","","0","","","","1","",""
"1038-007885","007885","Dorottya utca (Vörösmarty tér M)","47.497476","19.049623","","","0","","","","1","",""
"1038-007887","007887","Mester utca / Ferenc körút","47.48231","19.068795","","","0","","","","1","",""
"1038-007888","007888","Mester utca / Ferenc körút","47.482562","19.068477","","","0","","","","1","",""
"1038-007890","007890","Mester utca / Ferenc körút","47.481671","19.068782","","","0","","","","2","",""
"1038-007897","007897","Kelenföld vasútállomás M","47.464581","19.022964","","","0","","","","1","",""
"1038-007900","007900","Maros utcai rendelőintézet","47.503724","19.022401","","","0","","","","1","",""
"1038-007902","007902","Újpest-városkapu M","47.558551","19.078245","","","0","","","","1","",""
"1038-007913","007913","526. sor","47.479274","19.211295","","","0","","","","2","",""
"1038-007914","007914","526. sor","47.479282","19.211481","","","0","","","","2","",""
"1038-007923","007923","Kele utca","47.43175","19.173783","","","0","","","","1","",""
"1038-007924","007924","Ültetvény utca","47.396895","19.175423","","","0","","","","2","",""
"1038-007927","007927","Ferihegy vasútállomás","47.438423","19.222716","","","0","","","","1","",""
"1038-007928","007928","Ferihegy vasútállomás","47.437667","19.223377","","","0","","","","1","",""
"1038-007930","007930","Savoyai Jenő tér (Törley tér)","47.430333","19.036354","","","0","","","","1","",""
"1038-007931","007931","Savoyai Jenő tér (Törley tér)","47.430369","19.036792","","","0","","","","1","",""
"1038-007942","007942","Pilisborosjenő, autóbusz-forduló","47.609102","18.989684","","","0","","","","1","",""
"1038-007949","007949","Kocsis Sándor út","47.574343","19.013009","","","0","","","","1","",""
"1038-007950","007950","Keleti pályaudvar M","47.501104","19.082712","","","0","","","","1","",""
"1038-007967","007967","Kelenföld vasútállomás M","47.465755","19.021871","","","0","","","","1","",""
"1038-007968","007968","Mogyoród útja","47.570602","19.128267","","","0","","","","1","",""
"1038-007972","007972","Hűvösvölgy","47.543009","18.964481","","","0","","","","1","",""
"1038-007974","007974","Hűvösvölgy","47.542605","18.964773","","","0","","","","1","",""
"1038-007975","007975","Hűvösvölgy","47.543243","18.964281","","","0","","","","2","",""
"1038-007976","007976","Hűvösvölgy","47.543264","18.963995","","","0","","","","1","",""
"1038-007977","007977","Hűvösvölgy","47.542968","18.964195","","","0","","","","1","",""
"1038-007978","007978","Hűvösvölgy","47.542707","18.964355","","","0","","","","1","",""
"1038-007979","007979","Vörösmarty utca M","47.507404","19.066482","","","0","","","","1","",""
"1038-007980","007980","Vörösmarty utca M","47.507413","19.066787","","","0","","","","1","",""
"1038-007995","007995","Jókai Mór utca","47.410696","19.020671","","","0","","","","1","",""
"1038-007996","007996","Budatétény vasútállomás (Campona)","47.405694","19.013813","","","0","","","","1","",""
"1038-007997","007997","Budatétény vasútállomás (Campona)","47.405972","19.014129","","","0","","","","1","",""
"1038-007998","007998","Budatétény vasútállomás (Campona)","47.40573","19.014323","","","0","","","","1","",""
"1038-007999","007999","Budatétény vasútállomás (Campona)","47.405702","19.014155","","","0","","","","1","",""
"1038-008003","008003","Budagyöngye","47.515894","18.999506","","","0","","","","2","",""
"1038-008005","008005","Móricz Zsigmond körtér M","47.477059","19.04754","","","0","","","","1","",""
"1038-008021","008021","Örs vezér tere M+H","47.50194","19.136228","","","0","","","","1","",""
"1038-008022","008022","Örs vezér tere M+H","47.501517","19.136333","","","0","","","","1","",""
"1038-008023","008023","Örs vezér tere M+H","47.501472","19.136134","","","0","","","","1","",""
"1038-008024","008024","Örs vezér tere M+H","47.501148","19.136213","","","0","","","","1","",""
"1038-008025","008025","Örs vezér tere M+H","47.501778","19.135922","","","0","","","","1","",""
"1038-008026","008026","Örs vezér tere M+H","47.501355","19.136028","","","0","","","","1","",""
"1038-008028","008028","Örs vezér tere M+H","47.501112","19.135882","","","0","","","","1","",""
"1038-008029","008029","Örs vezér tere M+H","47.502111","19.135697","","","0","","","","1","",""
"1038-008030","008030","Örs vezér tere M+H","47.501742","19.135604","","","0","","","","1","",""
"1038-008036","008036","Kőbányai út 31.","47.487461","19.104252","","","0","","","","1","",""
"1038-008037","008037","Kőbányai út 31.","47.487452","19.103721","","","0","","","","1","",""
"1038-008040","008040","Tas vezér utca","47.478606","19.040827","","","0","","","","2","",""
"1038-008041","008041","Tas vezér utca","47.478849","19.040827","","","0","","","","1","",""
"1038-008047","008047","Lajosmizsei sorompó","47.450468","19.16141","","","0","","","","2","",""
"1038-008050","008050","Liptó utca","47.4861","19.007031","","","0","","","","2","",""
"1038-008051","008051","Liptó utca","47.48601","19.007071","","","0","","","","2","",""
"1038-008067","008067","Szent Imre tér","47.430889","19.0703","","","0","","","","1","",""
"1038-008087","008087","Fény utcai piac","47.508464","19.023646","","","0","","","","1","",""
"1038-008090","008090","Móricz Zsigmond körtér M","47.477256","19.048786","","","0","","","","1","",""
"1038-008093","008093","Dél-pesti autóbuszgarázs","47.426707","19.161776","","","0","","","","1","",""
"1038-008094","008094","Dél-pesti autóbuszgarázs","47.42616","19.16094","","","0","","","","1","",""
"1038-008095","008095","Nagykőrösi út","47.425255","19.157029","","","0","","","","2","",""
"1038-008096","008096","Nagykőrösi út","47.425183","19.157506","","","0","","","","2","",""
"1038-008098","008098","Szabina út","47.436429","19.013415","","","0","","","","1","",""
"1038-008099","008099","Pék utca","47.442142","19.018436","","","0","","","","1","",""
"1038-008100","008100","Pék utca","47.442188","19.018635","","","0","","","","2","",""
"1038-008101","008101","Rózsavölgy felső","47.441163","19.022295","","","0","","","","1","",""
"1038-008102","008102","Rózsavölgy felső","47.441217","19.022388","","","0","","","","1","",""
"1038-008103","008103","Rózsavölgy alsó","47.438304","19.030344","","","0","","","","1","",""
"1038-008104","008104","Rózsavölgy alsó","47.438304","19.030012","","","0","","","","1","",""
"1038-008106","008106","Vihar utca","47.434282","19.035651","","","0","","","","1","",""
"1038-008109","008109","Damjanich utca","47.402527","18.991053","","","0","","","","1","",""
"1038-008110","008110","Barosstelep vasútállomás","47.399613","18.990911","","","0","","","","1","",""
"1038-008111","008111","Barackos út / Angeli utca","47.402248","18.974427","","","0","","","","1","",""
"1038-008112","008112","Szakiskola utca","47.40492","18.975841","","","0","","","","2","",""
"1038-008113","008113","Szilvafa utca","47.405184","18.98216","","","0","","","","2","",""
"1038-008114","008114","Mátyás király utca","47.404326","18.990746","","","0","","","","2","",""
"1038-008115","008115","Szebeni utca","47.430356","19.016021","","","0","","","","1","",""
"1038-008116","008116","Szebeni utca","47.430177","19.01691","","","0","","","","1","",""
"1038-008119","008119","Mátra utca","47.400093","18.997693","","","0","","","","2","",""
"1038-008124","008124","Zöldike utca","47.430715","19.0128","","","0","","","","1","",""
"1038-008125","008125","Zöldike utca","47.431205","19.012359","","","0","","","","1","",""
"1038-008126","008126","Hír utca","47.432864","19.011526","","","0","","","","1","",""
"1038-008127","008127","Hír utca","47.432882","19.01142","","","0","","","","1","",""
"1038-008128","008128","Ady Endre út","47.435802","19.036578","","","0","","","","2","",""
"1038-008132","008132","Puskás Ferenc Stadion M","47.50122","19.107704","","","0","","","","1","",""
"1038-008146","008146","Vajda Péter utca","47.481378","19.103199","","","0","","","","1","",""
"1038-008147","008147","Vajda Péter utca","47.481801","19.103611","","","0","","","","1","",""
"1038-008148","008148","Kőbányai út / Könyves Kálmán körút","47.485766","19.107079","","","0","","","","1","",""
"1038-008149","008149","Kőbányai út / Könyves Kálmán körút","47.48626","19.10753","","","0","","","","1","",""
"1038-008150","008150","Zsil utca","47.48294","19.062984","","","0","","","","2","",""
"1038-008152","008152","Mester utca / Könyves Kálmán körút","47.469594","19.08374","","","0","","","","1","",""
"1038-008153","008153","Mester utca / Könyves Kálmán körút","47.469746","19.084483","","","0","","","","1","",""
"1038-008155","008155","Közvágóhíd H","47.46876","19.072769","","","0","","","","1","",""
"1038-008156","008156","Új köztemető","47.473586","19.178326","","","0","","","","1","",""
"1038-008164","008164","Örs vezér tere M+H","47.501382","19.136585","","","0","","","","1","",""
"1038-008165","008165","Örs vezér tere M+H","47.501849","19.136467","","","0","","","","1","",""
"1038-008168","008168","I. utca","47.400994","19.002739","","","0","","","","1","",""
"1038-008169","008169","I. utca","47.400904","19.003494","","","0","","","","1","",""
"1038-008170","008170","Angeli utca / Nagytétényi út","47.390622","18.981","","","0","","","","1","",""
"1038-008181","008181","Cinkotai autóbuszgarázs","47.498562","19.237779","","","0","","","","2","",""
"1038-008206","008206","Mexikói út M","47.519287","19.091049","","","0","","","","1","",""
"1038-008209","008209","Nagy Lajos király útja / Czobor utca","47.522197","19.102817","","","0","","","","1","",""
"1038-008218","008218","Széchenyi István tér","47.498915","19.047062","","","0","","","","2","",""
"1038-008222","008222","Örs vezér tere M+H","47.503737","19.136447","","","0","","","","1","",""
"1038-008238","008238","Széchenyi István tér","47.500543","19.04669","","","0","","","","1","",""
"1038-008239","008239","Müpa - Nemzeti Színház H","47.471165","19.073129","","","0","","","","1","",""
"1038-008240","008240","Müpa - Nemzeti Színház H","47.471354","19.073301","","","0","","","","1","",""
"1038-008241","008241","Szőnyi út","47.526625","19.09622","","","0","","","","1","",""
"1038-008242","008242","Teleki Blanka utca","47.523865","19.093761","","","0","","","","1","",""
"1038-008256","008256","Déli pályaudvar M","47.500397","19.025349","","","0","","","","2","",""
"1038-008260","008260","Nagybányai út","47.528503","18.996288","","","0","","","","1","",""
"1038-008261","008261","Nagybányai út","47.528368","18.996467","","","0","","","","1","",""
"1038-008262","008262","Hidegkuti Nándor Stadion","47.490703","19.108915","","","0","","","","1","",""
"1038-008265","008265","Közvágóhíd H","47.46876","19.073512","","","0","","","","1","",""
"1038-008267","008267","Szentlőrinci út","47.424625","19.157703","","","0","","","","1","",""
"1038-008269","008269","Delej utca","47.484694","19.096209","","","0","","","","1","",""
"1038-008270","008270","Delej utca","47.48446","19.096407","","","0","","","","1","",""
"1038-008280","008280","Infopark (Pázmány Péter sétány)","47.469242","19.064333","","","0","","","","1","",""
"1038-008283","008283","Óceán-árok utca","47.589986","19.100345","","","0","","","","1","",""
"1038-008284","008284","Óceán-árok utca","47.590345","19.101781","","","0","","","","1","",""
"1038-008286","008286","Népliget M","47.476325","19.099294","","","0","","","","1","",""
"1038-008287","008287","Népliget M","47.47614","19.098735","","","0","","","","1","",""
"1038-008289","008289","Szilágyi utca","47.570877","19.11133","","","0","","","","1","",""
"1038-008317","008317","Bartók Béla utca","47.433275","18.919546","","","0","","","","1","",""
"1038-008318","008318","Raktárváros","47.441443","18.938007","","","0","","","","1","",""
"1038-008319","008319","Raktárváros","47.441434","18.938378","","","0","","","","1","",""
"1038-008322","008322","Harangláb","47.431919","18.914048","","","0","","","","1","",""
"1038-008323","008323","Károlyi utca","47.43773","18.899544","","","0","","","","2","",""
"1038-008324","008324","Tükörhegy","47.436368","18.927095","","","0","","","","1","",""
"1038-008325","008325","Tükörhegy","47.43617","18.926976","","","0","","","","1","",""
"1038-008326","008326","Ady Endre utca","47.435045","18.906261","","","0","","","","1","",""
"1038-008328","008328","Törökbálint Sportközpont","47.440072","18.895693","","","0","","","","1","",""
"1038-008329","008329","Törökbálint Sportközpont","47.440269","18.895215","","","0","","","","1","",""
"1038-008330","008330","Határ utca","47.445251","18.894299","","","0","","","","1","",""
"1038-008331","008331","Határ utca","47.444924","18.894036","","","0","","","","2","",""
"1038-008332","008332","Hosszúrét utca","47.446051","18.881264","","","0","","","","2","",""
"1038-008333","008333","Törökbálint, bevásárlóközpont","47.443242","18.887398","","","0","","","","2","",""
"1038-008336","008336","Növény utca","47.402042","19.015774","","","0","","","","1","",""
"1038-008337","008337","Növény utca","47.402114","19.015257","","","0","","","","1","",""
"1038-008339","008339","Budaörsi lakótelep","47.455746","18.940232","","","0","","","","1","",""
"1038-008341","008341","Templom tér","47.542265","19.130118","","","0","","","","1","",""
"1038-008344","008344","Királyhágó tér","47.495421","19.018715","","","0","","","","1","",""
"1038-008345","008345","Katona József utca","47.43853","18.906237","","","0","","","","1","",""
"1038-008353","008353","Észak-Pesti Kórház","47.539069","19.121789","","","0","","","","1","",""
"1038-008365","F00568","Bécsi út / Vörösvári út","47.548489","19.028994","","","0","1038-MERGED_F00568","","","1","",""
"1038-008377","008377","Nagykőrösi út / Határ út","47.456438","19.114897","","","0","","","","2","",""
"1038-008379","008379","Kőbánya alsó vasútállomás","47.483886","19.127216","","","0","","","","2","",""
"1038-008381","008381","Kőbánya alsó vasútállomás","47.484011","19.127574","","","0","","","","2","",""
"1038-008382","008382","Örs vezér tere M+H","47.502477","19.136883","","","0","","","","1","",""
"1038-008383","008383","Örs vezér tere M+H","47.502639","19.136658","","","0","","","","1","",""
"1038-008399","008399","Pestszentimre vasútállomás","47.404222","19.186489","","","0","","","","1","",""
"1038-008400","008400","Dunakeszi, Auchan áruház","47.608963","19.117347","","","0","","","","2","",""
"1038-008402","008402","Kert sor","47.591122","19.045358","","","0","","","","1","",""
"1038-008403","008403","Kert sor","47.591374","19.045384","","","0","","","","1","",""
"1038-008404","008404","Csillaghegy H","47.584848","19.042059","","","0","","","","1","",""
"1038-008405","008405","Csillaghegy H","47.584781","19.041862","","","0","","","","1","",""
"1038-008406","008406","Forrásliget lakópark","47.581093","19.037502","","","0","","","","1","",""
"1038-008407","008407","Forrásliget lakópark","47.581363","19.037795","","","0","","","","1","",""
"1038-008408","008408","Ürömhegyi lejtő","47.577513","19.032133","","","0","","","","2","",""
"1038-008409","008409","Ürömhegyi lejtő","47.577621","19.03204","","","0","","","","2","",""
"1038-008410","008410","Aranyhegyi lejtő","47.572737","19.030301","","","0","","","","1","",""
"1038-008411","008411","Aranyhegyi lejtő","47.572602","19.030088","","","0","","","","1","",""
"1038-008412","008412","Bécsi út / Vörösvári út","47.548471","19.02918","","","0","","","","1","",""
"1038-008426","008426","Káposztásmegyer, Szilas-patak","47.577405","19.114927","","","0","","","","2","",""
"1038-008428","008428","Budakalász, Budai út","47.617063","19.051534","","","0","","","","2","",""
"1038-008429","008429","Budakalász, Budai út","47.616729","19.051767","","","0","","","","1","",""
"1038-008430","008430","Budakalász, Lenfonó H","47.620304","19.046374","","","0","","","","1","",""
"1038-008431","008431","Budakalász, Lenfonó H","47.6218","19.045662","","","0","","","","1","",""
"1038-008432","008432","Szentistvántelep H","47.628444","19.043367","","","0","","","","2","",""
"1038-008433","008433","Szentistvántelep H","47.627055","19.043879","","","0","","","","2","",""
"1038-008434","008434","Pomáz H","47.643897","19.030357","","","0","","","","1","",""
"1038-008435","008435","Pomáz H","47.642594","19.031459","","","0","","","","2","",""
"1038-008436","008436","Szentendre, Papírgyár","47.649031","19.069532","","","0","","","","1","",""
"1038-008437","008437","Papírgyár","47.647762","19.069061","","","0","","","","1","",""
"1038-008438","008438","Egyetem","47.652306","19.071738","","","0","","","","1","",""
"1038-008439","008439","Egyetem","47.652067","19.071331","","","0","","","","1","",""
"1038-008440","008440","Gubacsi út / Határ út","47.443626","19.096848","","","0","","","","1","",""
"1038-008447","008447","Dióskert","47.42563","18.911984","","","0","","","","2","",""
"1038-008455","008455","Jászai Mari tér","47.512837","19.047936","","","0","","","","2","",""
"1038-008458","008458","Tisza István tér","47.51723","19.10735","","","0","","","","1","",""
"1038-008459","008459","Uzsoki Utcai Kórház","47.519858","19.103689","","","0","","","","1","",""
"1038-008460","008460","Uzsoki Utcai Kórház","47.519615","19.103476","","","0","","","","1","",""
"1038-008461","008461","Erzsébet királyné útja / Róna utca","47.521586","19.101301","","","0","","","","1","",""
"1038-008462","008462","Bretzfeld utca","47.460536","18.945898","","","0","","","","1","",""
"1038-008469","008469","Gubacsi út / Határ út","47.444418","19.096583","","","0","","","","2","",""
"1038-008470","008470","Gubacsi út / Határ út","47.444013","19.097219","","","0","","","","2","",""
"1038-008471","008471","Dél-pesti autóbuszgarázs","47.426556","19.160782","","","0","","","","1","",""
"1038-008472","008472","Dél-pesti autóbuszgarázs","47.426744","19.16114","","","0","","","","1","",""
"1038-008479","008479","Homokbánya utca","47.399559","18.941035","","","0","","","","2","",""
"1038-008480","008480","Petőfi Sándor utca","47.40247","18.937784","","","0","","","","1","",""
"1038-008481","008481","Soroksár felső H","47.40998","19.111405","","","0","","","","1","",""
"1038-008486","008486","Csonka János tér","47.47007","19.044795","","","0","","","","1","",""
"1038-008490","008490","Határ út M","47.464567","19.126152","","","0","","","","1","",""
"1038-008491","008491","Jászberényi út","47.485496","19.192619","","","0","","","","2","",""
"1038-008498","008498","Aszódi utca","47.463484","19.100991","","","0","","","","1","",""
"1038-008499","008499","Közterületfenntartó Zrt.","47.467861","19.106659","","","0","","","","1","",""
"1038-008500","008500","Ecseri út M","47.470487","19.108771","","","0","","","","2","",""
"1038-008501","008501","Ferencvárosi rendelőintézet","47.476984","19.075559","","","0","","","","1","",""
"1038-008519","008519","Tímár utca H","47.533299","19.043582","","","0","","","","1","",""
"1038-008521","008521","Serfőző utca","47.538309","19.046968","","","0","","","","1","",""
"1038-008525","008525","Közterületfenntartó Zrt.","47.468355","19.107959","","","0","","","","1","",""
"1038-008535","008535","Cinkotai autóbuszgarázs","47.498194","19.237472","","","0","","","","1","",""
"1038-008544","008544","Szépvölgyi út H","47.527615","19.040037","","","0","","","","1","",""
"1038-008545","008545","Puskás Ferenc Stadion M","47.500105","19.107013","","","0","1038-008875","","","1","",""
"1038-008548","008548","Gyál, Bem József utca","47.372917","19.216769","","","0","","","","1","",""
"1038-008549","008549","Kisfaludy Sándor utca","47.375008","19.213611","","","0","","","","2","",""
"1038-008550","008550","Toldi Miklós utca","47.377334","19.210016","","","0","","","","2","",""
"1038-008551","008551","Bacsó Béla utca","47.379533","19.206672","","","0","","","","1","",""
"1038-008552","008552","Erdősor utca","47.383056","19.201876","","","0","","","","2","",""
"1038-008553","008553","Bajcsy-Zsilinszky utca","47.385634","19.204439","","","0","","","","2","",""
"1038-008557","008557","Ecseri út M","47.470792","19.109448","","","0","","","","1","",""
"1038-008559","008559","Korompai utca","47.48486","19.012485","","","0","","","","1","",""
"1038-008560","008560","Korompai utca","47.484789","19.012843","","","0","","","","1","",""
"1038-008567","008567","Gazdagréti tér","47.473277","18.99278","","","0","","","","1","",""
"1038-008569","008569","Cinkotai autóbuszgarázs","47.498051","19.236675","","","0","","","","2","",""
"1038-008575","008575","Távíró utca","47.461082","19.119025","","","0","","","","1","",""
"1038-008577","008577","Rákoshegy vasútállomás","47.467934","19.244806","","","0","","","","1","",""
"1038-008587","008587","Gyáli út","47.456472","19.111009","","","0","","","","2","",""
"1038-008588","008588","Gyáli út","47.456293","19.110359","","","0","","","","2","",""
"1038-008589","008589","Gyáli út","47.46601","19.103474","","","0","","","","1","",""
"1038-008590","008590","Szent Gellért tér - Műegyetem M","47.483337","19.053086","","","0","","","","1","",""
"1038-008591","008591","Szent Gellért tér - Műegyetem M","47.483616","19.053537","","","0","","","","1","",""
"1038-008593","008593","Móricz Zsigmond körtér M","47.476836","19.047188","","","0","","","","1","",""
"1038-008597","008597","Sport utca","47.455951","18.948135","","","0","","","","1","",""
"1038-008598","008598","Baross utca","47.460313","18.958511","","","0","","","","1","",""
"1038-008605","008605","Kolosy tér","47.527543","19.036916","","","0","","","","1","",""
"1038-008642","008642","Székesdűlő","47.611694","19.105926","","","0","","","","1","",""
"1038-008643","008643","Székesdűlő","47.610958","19.103571","","","0","","","","1","",""
"1038-008644","008644","Vízművek","47.599469","19.092788","","","0","","","","2","",""
"1038-008645","008645","Vízművek","47.600323","19.093374","","","0","","","","2","",""
"1038-008646","008646","Áruházi bekötőút","47.38651","19.02263","","","0","","","","1","",""
"1038-008647","008647","Áruházi bekötőút","47.386519","19.023121","","","0","","","","1","",""
"1038-008649","008649","Székesdűlő, ipartelep","47.615155","19.109268","","","0","","","","2","",""
"1038-008650","008650","Székesdűlő, ipartelep","47.61476","19.108789","","","0","","","","2","",""
"1038-008651","008651","Auchan Sziget áruház","47.384361","19.02581","","","0","","","","1","",""
"1038-008652","008652","Auchan Sziget áruház","47.384163","19.025969","","","0","","","","1","",""
"1038-008670","008670","Auchan Liget","47.541205","19.24703","","","0","","","","2","",""
"1038-008684","008684","Albertfalva kitérő","47.452747","19.038524","","","0","","","","1","",""
"1038-008685","008685","Albertfalva kitérő","47.45272","19.038922","","","0","","","","1","",""
"1038-008690","008690","Budaörs vasútállomás","47.448184","18.964863","","","1","","","","2","",""
"1038-008691","008691","Angeli utca / Nagytétényi út","47.390942","18.981735","","","1","","","","2","",""
"1038-008692","008692","Felsőcsatári köz","47.458778","19.177103","","","0","","","","1","",""
"1038-008694","008694","Köztelek utca","47.486933","19.067178","","","0","","","","2","",""
"1038-008697","008697","Újpest-központ M","47.560724","19.090125","","","0","","","","1","",""
"1038-008702","008702","Ferencvárosi rendelőintézet","47.477155","19.075785","","","0","","","","2","",""
"1038-008708","008708","Vízművek lakótelep","47.597742","19.091577","","","0","","","","2","",""
"1038-008725","008725","Puskás Ferenc Stadion M","47.499898","19.104838","","","0","","","","1","",""
"1038-008731","008731","Budagyöngye","47.51611","18.998949","","","0","","","","2","",""
"1038-008736","008736","Dániel út","47.512852","18.995009","","","0","","","","2","",""
"1038-008737","008737","Dániel út","47.512834","18.994743","","","0","","","","1","",""
"1038-008740","008740","Újbuda-központ M","47.474654","19.046424","","","0","","","","1","",""
"1038-008750","008750","Batthyány tér M+H","47.505696","19.039323","","","0","","","","1","",""
"1038-008754","008754","Pestszentimre vasútállomás (Dózsa Gy.u.)","47.403548","19.185706","","","0","","","","2","",""
"1038-008772","008772","Pestszentlőrinc vasútállomás","47.454622","19.181767","","","0","","","","1","",""
"1038-008775","008775","Ilonatelep H","47.525775","19.228634","","","0","","","","1","",""
"1038-008782","008782","Blaha Lujza tér M","47.496844","19.069066","","","0","","","","1","",""
"1038-008788","008788","Kőérberek","47.445299","18.999585","","","0","","","","2","",""
"1038-008789","008789","Kőérberek","47.445218","19.000036","","","0","","","","2","",""
"1038-008793","008793","Regényes utca","47.429395","19.020648","","","0","","","","1","",""
"1038-008802","008802","Savoya Park","47.435847","19.042385","","","0","","","","1","",""
"1038-008822","008822","Budakalász, Auchan áruház","47.61151","19.062328","","","1","","","","2","",""
"1038-008832","008832","Szakorvosi rendelőintézet","47.443848","19.181104","","","0","","","","1","",""
"1038-008841","008841","Íves út","47.592824","19.107979","","","0","","","","1","",""
"1038-008842","008842","Íves út","47.592582","19.10665","","","0","","","","1","",""
"1038-008844","008844","Egressy út / Vezér utca","47.51926","19.126312","","","0","","","","1","",""
"1038-008846","008846","Méhecske utca","47.448009","18.947805","","","0","","","","2","",""
"1038-008847","008847","Méhecske utca","47.447991","18.947991","","","0","","","","2","",""
"1038-008850","008850","Mikszáth Kálmán utca","47.451147","19.176786","","","0","","","","1","",""
"1038-008863","008863","Gőzmozdony utca","47.470028","19.157173","","","0","","","","1","",""
"1038-008864","008864","Savoya Park","47.435991","19.04151","","","0","","","","1","",""
"1038-008865","008865","Savoya Park","47.436324","19.041218","","","0","","","","1","",""
"1038-008874","008874","Timót utca","47.452167","19.091904","","","1","","","","2","",""
"1038-008875","008875","Puskás Ferenc Stadion M","47.500133","19.107035","","","1","","","","2","",""
"1038-008893","008893","Csepeli átjáró","47.436343","19.092559","","","0","","","","2","",""
"1038-008894","008894","Vízisport utca","47.433933","19.091311","","","0","","","","2","",""
"1038-008895","008895","Teremszeg utca","47.433006","19.092212","","","0","","","","2","",""
"1038-008896","008896","Pesterzsébet vasútállomás","47.433409","19.096269","","","0","","","","2","",""
"1038-008898","008898","Szakorvosi rendelő","47.440692","19.102002","","","0","","","","2","",""
"1038-008900","008900","Göncz Árpád városközpont M","47.531877","19.066158","","","0","","","","1","",""
"1038-008903","008903","Szentmihályi út","47.541348","19.15194","","","0","","","","1","",""
"1038-008904","008904","Kétújfalu utca","47.419483","19.209137","","","0","","","","1","",""
"1038-008910","008910","Káposztásmegyer, Mogyoródi-patak","47.598312","19.121415","","","0","","","","1","",""
"1038-008911","008911","Homoktövis iskola","47.597226","19.117132","","","0","","","","1","",""
"1038-008912","008912","Hidegkuti Nándor Stadion","47.490255","19.110147","","","0","","","","1","",""
"1038-008914","008914","Vágóhíd utca","47.473502","19.079577","","","0","","","","1","",""
"1038-008916","008916","Kőbányai garázs","47.49063","19.114447","","","0","","","","2","",""
"1038-008917","008917","Kőbányai garázs","47.490667","19.113836","","","0","","","","2","",""
"1038-008918","008918","Budatétény, benzinkút","47.4301","19.003628","","","0","","","","2","",""
"1038-008919","008919","Pongrátz Gergely tér","47.509905","19.128276","","","0","","","","1","",""
"1038-008921","008921","Dél-pesti autóbuszgarázs","47.426582","19.161021","","","0","","","","2","",""
"1038-008922","008922","Gyula vezér út","47.409242","19.003434","","","0","","","","2","",""
"1038-008923","008923","Kabai utca","47.495704","19.160464","","","0","","","","1","",""
"1038-008924","008924","Kabai utca","47.495533","19.160424","","","0","","","","1","",""
"1038-008939","008939","Békásmegyer H","47.598425","19.05424","","","0","","","","1","",""
"1038-008940","008940","Békásmegyer H","47.598667","19.054107","","","0","","","","1","",""
"1038-008941","008941","Váci út","47.561294","19.079376","","","0","","","","1","",""
"1038-008942","008942","Örs vezér tere M+H (Kerepesi út)","47.503207","19.137531","","","0","","","","1","",""
"1038-008943","008943","Budatétény, benzinkút","47.431018","19.004423","","","0","","","","2","",""
"1038-008944","008944","Újpest-városkapu M (Váci út)","47.556564","19.076623","","","0","","","","1","",""
"1038-008945","008945","Újpest-városkapu M (Váci út)","47.558092","19.076836","","","0","","","","1","",""
"1038-008946","008946","Szénás utca","47.527548","19.181565","","","0","","","","1","",""
"1038-008947","008947","Szlovák út","47.530956","19.18917","","","0","","","","1","",""
"1038-008948","008948","Kucorgó tér","47.469348","19.295123","","","0","","","","1","",""
"1038-008949","008949","Pestszentimre vasútáll. (Nagykőrösi út)","47.403412","19.18662","","","0","","","","1","",""
"1038-008950","008950","Pestszentimre vasútáll. (Nagykőrösi út)","47.404303","19.185682","","","0","","","","1","",""
"1038-008951","008951","Béke tér","47.430006","19.215624","","","0","","","","2","",""
"1038-008952","008952","Terv utca","47.408019","19.001535","","","0","","","","1","",""
"1038-008953","008953","Csillag utca","47.408474","19.119154","","","0","","","","1","",""
"1038-008954","008954","Csillag utca","47.409562","19.118997","","","0","","","","1","",""
